time (years since 0000-01-01),Irradiance (W/m^2)
1882.5,1360.8498
1883.5,1360.8969
1884.5,1360.7988
1885.5,1360.6892
1886.5,1360.5239
1887.5,1360.4804
1888.5,1360.4450
1889.5,1360.4166
1890.5,1360.4512
1891.5,1360.7026
1892.5,1360.8012
1893.5,1360.9422
1894.5,1361.0375
1895.5,1360.9212
1896.5,1360.7403
1897.5,1360.5948
1898.5,1360.5721
1899.5,1360.5203
1900.5,1360.4896
1901.5,1360.4114
1902.5,1360.4200
1903.5,1360.6301
1904.5,1360.9002
1905.5,1360.7113
1906.5,1360.9077
1907.5,1360.7919
1908.5,1360.8570
1909.5,1360.7464
1910.5,1360.6131
1911.5,1360.5295
1912.5,1360.4832
1913.5,1360.4997
1914.5,1360.5666
1915.5,1360.8712
1916.5,1361.0812
1917.5,1361.2302
1918.5,1361.1918
1919.5,1360.9624
1920.5,1360.8000
1921.5,1360.6949
1922.5,1360.5770
1923.5,1360.6087
1924.5,1360.6403
1925.5,1360.8444
1926.5,1360.9455
1927.5,1361.1290
1928.5,1361.0067
1929.5,1360.9655
1930.5,1360.9477
1931.5,1360.8258
1932.5,1360.7186
1933.5,1360.5978
1934.5,1360.7097
1935.5,1360.9261
1936.5,1361.3155
1937.5,1361.2498
1938.5,1361.1853
1939.5,1361.1690
1940.5,1361.1064
1941.5,1361.0273
1942.5,1360.9241
1943.5,1360.7663
1944.5,1360.7962
1945.5,1361.0632
1946.5,1361.1613
1947.5,1361.4007
1948.5,1361.5312
1949.5,1361.4377
1950.5,1361.1953
1951.5,1360.9587
1952.5,1360.9498
1953.5,1360.8106
1954.5,1360.8386
1955.5,1360.9595
1956.5,1361.4931
1957.5,1361.8503
1958.5,1361.8150
1959.5,1361.5650
1960.5,1361.4589
1961.5,1361.1021
1962.5,1360.9306
1963.5,1360.8785
1964.5,1360.8798
1965.5,1360.9163
1966.5,1361.1000
1967.5,1361.2965
1968.5,1361.3466
1969.5,1361.4298
1970.5,1361.4248
1971.5,1361.1402
1972.5,1361.2347
1973.5,1360.9813
1974.5,1360.9093
1975.5,1360.7167
1976.5,1360.8275
1977.5,1361.0153
1978.5,1361.4569
1979.5,1361.8170
1980.5,1361.8304
1981.5,1361.8773
1982.5,1361.4681
1983.5,1361.3814
1984.5,1360.9925
1985.5,1360.8238
1986.5,1360.8201
1987.5,1360.9721
1988.5,1361.2648
1989.5,1361.8301
1990.5,1361.7355
1991.5,1361.6279
1992.5,1361.4843
1993.5,1361.2108
1994.5,1360.9793
1995.5,1360.8818
1996.5,1360.7943
1997.5,1360.9221
1998.5,1361.2843
1999.5,1361.5673
2000.5,1361.8476
2001.5,1361.7844
2002.5,1361.8629
2003.5,1361.3772
2004.5,1361.2343
2005.5,1361.0613
2006.5,1360.9956
2007.5,1360.9021
2008.5,1360.8698
